,datetime,channel,store_code,bill_size,source
7879439,2020-12-23 09:23:00,Pickup,D424,285455.0,Store
7879497,2020-12-23 10:09:00,Pickup,D424,228182.0,Store
7879545,2020-12-23 10:17:00,Pickup,D424,228182.0,Store
7879576,2020-12-23 10:26:00,Pickup,D424,71818.0,Store
7879602,2020-12-23 10:31:00,Delivery,D424,239091.0,Store
7879614,2020-12-23 10:35:00,Pickup,D424,290909.0,Store
7879698,2020-12-23 10:53:00,Pickup,D424,426364.0,Store
7879699,2020-12-23 10:53:00,Pickup,D424,63636.0,Store
7879714,2020-12-23 10:56:00,Pickup,D424,352727.0,Store
7879837,2020-12-23 11:16:00,Pickup,D424,228182.0,Store
7879904,2020-12-23 11:28:00,Pickup,D424,272727.0,Store
7879970,2020-12-23 11:38:00,Pickup,D424,191818.0,Store
7879984,2020-12-23 11:39:00,Pickup,D424,155455.0,Store
7880052,2020-12-23 11:49:00,Pickup,D424,310000.0,Store
7880233,2020-12-23 12:14:00,Pickup,D424,117273.0,Store
7880282,2020-12-23 12:19:03,Dinein,D424,21818.0,Store
7880352,2020-12-23 12:30:00,Pickup,D424,228182.0,Store
7880380,2020-12-23 12:35:00,Pickup,D424,246364.0,Store
7880510,2020-12-23 12:56:00,Pickup,D424,99091.0,Store
7880547,2020-12-23 13:05:00,Pickup,D424,71818.0,Store
7880754,2020-12-23 14:07:00,Pickup,D424,108182.0,Store
7880856,2020-12-23 14:33:00,Pickup,D424,235455.0,WEBISTE
7880914,2020-12-23 14:49:00,Pickup,D424,246364.0,Store
7881244,2020-12-23 16:05:00,Pickup,D424,280000.0,Store
7881308,2020-12-23 16:13:00,Pickup,D424,108182.0,Store
7881324,2020-12-23 16:15:00,Pickup,D424,108182.0,Store
7881405,2020-12-23 16:27:00,Pickup,D424,354545.0,Store
7881511,2020-12-23 16:37:00,Pickup,D424,300909.0,Store
7881568,2020-12-23 16:43:17,Dinein,D424,180909.0,Store
7881586,2020-12-23 16:45:00,Pickup,D424,18182.0,Store
7881588,2020-12-23 16:45:02,Dinein,D424,351818.0,Store
7881615,2020-12-23 16:48:02,Dinein,D424,53636.0,Store
7881619,2020-12-23 16:49:00,Pickup,D424,155455.0,Store
7881653,2020-12-23 16:52:47,Dinein,D424,252727.0,Store
7881664,2020-12-23 16:53:00,Pickup,D424,254545.0,Store
7881714,2020-12-23 16:58:00,Pickup,D424,337273.0,Store
7881733,2020-12-23 17:00:05,Dinein,D424,53636.0,Store
7881769,2020-12-23 17:03:00,Pickup,D424,262727.0,Store
7881850,2020-12-23 17:11:00,Pickup,D424,228182.0,Store
7882001,2020-12-23 17:22:00,Pickup,D424,228182.0,Store
7882045,2020-12-23 17:25:00,Pickup,D424,310000.0,Store
7882077,2020-12-23 17:27:00,Pickup,D424,310000.0,Store
7882137,2020-12-23 17:32:00,Pickup,D424,280000.0,Store
7882262,2020-12-23 17:40:00,Pickup,D424,108182.0,Store
7882290,2020-12-23 17:43:00,Pickup,D424,310000.0,Store
7882378,2020-12-23 17:49:00,Pickup,D424,317273.0,Store
7882398,2020-12-23 17:50:44,Dinein,D424,160909.0,Store
7882427,2020-12-23 17:53:00,Pickup,D424,219091.0,Store
7882462,2020-12-23 17:56:00,Pickup,D424,155455.0,Store
7882495,2020-12-23 17:58:00,Pickup,D424,345455.0,Store
7882509,2020-12-23 17:59:00,Pickup,D424,227273.0,Store
7882513,2020-12-23 17:59:00,Pickup,D424,219091.0,Store
7882606,2020-12-23 18:06:00,Pickup,D424,909.0,Store
7882662,2020-12-23 18:09:35,Dinein,D424,179091.0,Store
7882668,2020-12-23 18:10:00,Pickup,D424,263636.0,Store
7882716,2020-12-23 18:13:00,Pickup,D424,228182.0,Store
7882786,2020-12-23 18:18:00,Pickup,D424,180000.0,Store
7882817,2020-12-23 18:20:00,Delivery,D424,526364.0,AGG-FOODY
7882832,2020-12-23 18:21:00,Pickup,D424,143636.0,Store
7882833,2020-12-23 18:21:00,Pickup,D424,219091.0,Store
7882858,2020-12-23 18:23:00,Pickup,D424,71818.0,Store
7882960,2020-12-23 18:30:00,Pickup,D424,263636.0,Store
7883044,2020-12-23 18:35:49,Dinein,D424,216364.0,Store
7883105,2020-12-23 18:39:00,Pickup,D424,228182.0,Store
7883158,2020-12-23 18:42:31,Dinein,D424,299091.0,Store
7883258,2020-12-23 18:48:00,Pickup,D424,310000.0,Store
7883266,2020-12-23 18:49:00,Pickup,D424,219091.0,Store
7883288,2020-12-23 18:50:00,Pickup,D424,310000.0,Store
7883324,2020-12-23 18:52:00,Pickup,D424,155455.0,Store
7883345,2020-12-23 18:53:00,Pickup,D424,26364.0,Store
7883372,2020-12-23 18:54:40,Dinein,D424,306364.0,Store
7883379,2020-12-23 18:55:00,Pickup,D424,228182.0,Store
7883433,2020-12-23 18:59:00,Pickup,D424,310000.0,Store
7883449,2020-12-23 19:00:00,Pickup,D424,300909.0,Store
7883502,2020-12-23 19:03:00,Pickup,D424,246364.0,Store
7883523,2020-12-23 19:05:00,Pickup,D424,228182.0,Store
7883642,2020-12-23 19:13:00,Pickup,D424,228182.0,Store
7883725,2020-12-23 19:20:00,Pickup,D424,35455.0,Store
7883771,2020-12-23 19:24:00,Delivery,D424,117273.0,Store
7883772,2020-12-23 19:24:00,Delivery,D424,405455.0,AGG-FOODY
7883775,2020-12-23 19:24:00,Pickup,D424,264545.0,Store
7883798,2020-12-23 19:26:00,Pickup,D424,108182.0,Store
7883811,2020-12-23 19:27:00,Pickup,D424,228182.0,Store
7883847,2020-12-23 19:29:00,Pickup,D424,310000.0,Store
7883876,2020-12-23 19:31:00,Pickup,D424,219091.0,Store
7883953,2020-12-23 19:37:00,Pickup,D424,228182.0,Store
7883984,2020-12-23 19:39:42,Dinein,D424,414545.0,Store
7884001,2020-12-23 19:41:00,Pickup,D424,71818.0,Store
7884033,2020-12-23 19:44:00,Pickup,D424,219091.0,Store
7884054,2020-12-23 19:45:10,Dinein,D424,299091.0,Store
7884073,2020-12-23 19:47:00,Pickup,D424,108182.0,Store
7884090,2020-12-23 19:48:00,Pickup,D424,219091.0,Store
7884110,2020-12-23 19:49:18,Dinein,D424,143636.0,Store
7884152,2020-12-23 19:52:00,Pickup,D424,228182.0,Store
7884181,2020-12-23 19:54:00,Pickup,D424,219091.0,Store
7884193,2020-12-23 19:55:00,Pickup,D424,243636.0,Store
7884215,2020-12-23 19:57:00,Pickup,D424,219091.0,Store
7884286,2020-12-23 20:01:00,Pickup,D424,108182.0,Store
7884341,2020-12-23 20:05:00,Pickup,D424,228182.0,Store
7884400,2020-12-23 20:11:00,Pickup,D424,108182.0,Store
7884463,2020-12-23 20:17:00,Pickup,D424,108182.0,Store
7884498,2020-12-23 20:21:00,Pickup,D424,108182.0,Store
7884607,2020-12-23 20:34:00,Pickup,D424,155455.0,Store
7884622,2020-12-23 20:36:00,Pickup,D424,300909.0,Store
7884628,2020-12-23 20:38:00,Pickup,D424,254545.0,Store
7884629,2020-12-23 20:38:00,Pickup,D424,243636.0,Store
7884639,2020-12-23 20:39:00,Pickup,D424,71818.0,Store
7884646,2020-12-23 20:39:27,Dinein,D424,108182.0,Store
7884660,2020-12-23 20:41:09,Dinein,D424,103636.0,Store
7884666,2020-12-23 20:42:00,Pickup,D424,399091.0,Store
7884681,2020-12-23 20:43:00,Pickup,D424,158545.0,Store
7884832,2020-12-23 21:06:00,Pickup,D424,219091.0,Store
7884919,2020-12-23 21:23:00,Pickup,D424,219091.0,Store
7884930,2020-12-23 21:26:00,Pickup,D424,219091.0,Store
7885170,2020-12-24 10:06:00,Pickup,D424,262727.0,Store
7885179,2020-12-24 10:07:45,Dinein,D424,299091.0,Store
7885615,2020-12-24 11:13:00,Pickup,D424,246364.0,Store
7885709,2020-12-24 11:23:00,Pickup,D424,219091.0,Store
7885762,2020-12-24 11:27:12,Dinein,D424,260000.0,Store
7885900,2020-12-24 11:38:12,Dinein,D424,452727.0,Store
7885972,2020-12-24 11:44:00,Pickup,D424,272727.0,Store
7886049,2020-12-24 11:50:00,Pickup,D424,300909.0,Store
7886094,2020-12-24 11:54:00,Pickup,D424,310000.0,Store
7886192,2020-12-24 12:03:00,Delivery,D424,1031818.0,Store
7886427,2020-12-24 12:21:53,Dinein,D424,10909.0,Store
7886658,2020-12-24 12:43:22,Dinein,D424,10909.0,Store
7886696,2020-12-24 12:47:00,Delivery,D424,320909.0,CallCenter
7886753,2020-12-24 12:53:00,Delivery,D424,236364.0,AGG-FOODY
7886781,2020-12-24 12:57:00,Pickup,D424,155455.0,Store
7886903,2020-12-24 13:16:52,Dinein,D424,408182.0,Store
7887009,2020-12-24 13:31:01,Dinein,D424,10909.0,Store
7887112,2020-12-24 13:52:54,Dinein,D424,10909.0,Store
7887446,2020-12-24 14:44:54,Dinein,D424,351818.0,Store
7887497,2020-12-24 14:52:00,Delivery,D424,128182.0,AGG-FOODY
7887699,2020-12-24 15:16:00,Pickup,D424,507273.0,Store
7887798,2020-12-24 15:28:00,Pickup,D424,99091.0,Store
7887916,2020-12-24 15:40:00,Pickup,D424,705455.0,Store
7887946,2020-12-24 15:42:00,Pickup,D424,219091.0,WEBISTE
7888176,2020-12-24 16:03:00,Pickup,D424,228182.0,Store
7888259,2020-12-24 16:09:00,Delivery,D424,684545.0,Store
7888334,2020-12-24 16:14:00,Pickup,D424,400000.0,Store
7888369,2020-12-24 16:17:00,Pickup,D424,219091.0,WEBISTE
7888394,2020-12-24 16:19:00,Pickup,D424,300909.0,Store
7888406,2020-12-24 16:20:00,Pickup,D424,108182.0,Store
7888407,2020-12-24 16:20:00,Delivery,D424,411818.0,Store
7888410,2020-12-24 16:20:00,Delivery,D424,210000.0,AGG-FOODY
7888463,2020-12-24 16:23:00,Pickup,D424,180000.0,Store
7888540,2020-12-24 16:28:00,Pickup,D424,228182.0,Store
7888601,2020-12-24 16:31:56,Dinein,D424,317273.0,Store
7888638,2020-12-24 16:34:00,Pickup,D424,155455.0,Store
7888647,2020-12-24 16:35:00,Pickup,D424,400909.0,Store
7888726,2020-12-24 16:39:00,Pickup,D424,228182.0,Store
7888876,2020-12-24 16:47:45,Dinein,D424,299091.0,Store
7888937,2020-12-24 16:51:00,Pickup,D424,153636.0,Store
7889104,2020-12-24 17:00:20,Dinein,D424,216364.0,Store
7889126,2020-12-24 17:01:00,Pickup,D424,228182.0,Store
7889218,2020-12-24 17:05:00,Pickup,D424,235455.0,Store
7889223,2020-12-24 17:05:11,Dinein,D424,299091.0,Store
7889243,2020-12-24 17:06:00,Delivery,D424,320909.0,CallCenter
7889265,2020-12-24 17:07:00,Pickup,D424,108182.0,Store
7889362,2020-12-24 17:12:00,Pickup,D424,327273.0,Store
7889430,2020-12-24 17:15:00,Pickup,D424,71818.0,Store
7889437,2020-12-24 17:15:00,Pickup,D424,108182.0,Store
7889491,2020-12-24 17:17:00,Pickup,D424,99091.0,Store
7889513,2020-12-24 17:18:00,Pickup,D424,108182.0,Store
7889650,2020-12-24 17:23:02,Dinein,D424,180909.0,Store
7889700,2020-12-24 17:25:00,Delivery,D424,326364.0,AGG-FOODY
7889731,2020-12-24 17:26:00,Pickup,D424,117273.0,Store
7889743,2020-12-24 17:27:00,Pickup,D424,108182.0,Store
7889882,2020-12-24 17:33:00,Pickup,D424,180000.0,Store
7889938,2020-12-24 17:35:00,Pickup,D424,190000.0,Store
7890049,2020-12-24 17:38:00,Pickup,D424,180909.0,Store
7890242,2020-12-24 17:45:00,Pickup,D424,228182.0,Store
7890434,2020-12-24 17:51:00,Pickup,D424,601818.0,Store
7890456,2020-12-24 17:52:00,Pickup,D424,228182.0,WEBISTE
7890515,2020-12-24 17:54:08,Dinein,D424,399091.0,Store
7890624,2020-12-24 17:58:00,Pickup,D424,400000.0,Store
7890709,2020-12-24 18:01:00,Pickup,D424,272727.0,CallCenter
7890752,2020-12-24 18:02:00,Delivery,D424,327273.0,AGG-FOODY
7890755,2020-12-24 18:02:00,Pickup,D424,219091.0,Store
7890761,2020-12-24 18:02:00,Pickup,D424,507273.0,Store
7890791,2020-12-24 18:03:00,Pickup,D424,109091.0,Store
7890903,2020-12-24 18:07:00,Pickup,D424,300909.0,Store
7890918,2020-12-24 18:07:50,Dinein,D424,299091.0,Store
7891005,2020-12-24 18:10:00,Pickup,D424,228182.0,Store
7891120,2020-12-24 18:13:00,Delivery,D424,320909.0,CallCenter
7891162,2020-12-24 18:14:00,Pickup,D424,246364.0,Store
7891317,2020-12-24 18:18:00,Pickup,D424,190000.0,Store
7891391,2020-12-24 18:20:00,Delivery,D424,128182.0,AGG-FOODY
7891497,2020-12-24 18:23:00,Delivery,D424,365455.0,CallCenter
7891555,2020-12-24 18:24:41,Dinein,D424,416364.0,Store
7891657,2020-12-24 18:27:58,Dinein,D424,71818.0,Store
7891670,2020-12-24 18:28:00,Pickup,D424,191818.0,Store
7891826,2020-12-24 18:32:00,Pickup,D424,153636.0,Store
7891829,2020-12-24 18:32:00,Pickup,D424,263636.0,Store
7891877,2020-12-24 18:33:59,Dinein,D424,279091.0,Store
7891914,2020-12-24 18:34:51,Dinein,D424,243636.0,Store
7892157,2020-12-24 18:41:19,Dinein,D424,299091.0,Store
7892218,2020-12-24 18:43:00,Pickup,D424,246364.0,Store
7892262,2020-12-24 18:44:30,Dinein,D424,207273.0,Store
7892330,2020-12-24 18:46:00,Pickup,D424,246364.0,Store
7892965,2020-12-24 19:02:33,Dinein,D424,317273.0,Store
7893129,2020-12-24 19:07:15,Dinein,D424,90000.0,Store
7893155,2020-12-24 19:08:00,Delivery,D424,200909.0,AGG-FOODY
7893296,2020-12-24 19:12:09,Dinein,D424,71818.0,Store
7893474,2020-12-24 19:17:00,Delivery,D424,324545.0,AGG-FOODY
7893590,2020-12-24 19:20:00,Delivery,D424,210000.0,AGG-FOODY
7893630,2020-12-24 19:21:04,Dinein,D424,180909.0,Store
7893859,2020-12-24 19:28:00,Delivery,D424,108182.0,Store
7893976,2020-12-24 19:31:47,Dinein,D424,352727.0,Store
7894001,2020-12-24 19:32:00,Pickup,D424,108182.0,Store
7894057,2020-12-24 19:33:57,Dinein,D424,544545.0,Store
7894123,2020-12-24 19:36:00,Pickup,D424,191818.0,Store
7894410,2020-12-24 19:44:00,Pickup,D424,228182.0,Store
7894510,2020-12-24 19:46:05,Dinein,D424,290000.0,Store
7894586,2020-12-24 19:49:00,Pickup,D424,310000.0,Store
7894635,2020-12-24 19:50:00,Pickup,D424,310000.0,Store
